97, 18, 9, 9, 0, 0, 2, 36, 21, 16, 59, 106, 64, 0, 5, 27, 5, 38, 126, 68, 19, 0, 0, 2, 6, 38, 26, 15, 4, 0, 0, 2, 61, 16, 8, 16, 28, 19, 15, 50, 126, 95, 44, 6, 9, 12, 7, 59, 5, 33, 88, 60, 101, 95, 5, 1, 69, 49, 11, 20, 61, 25, 0, 2, 46, 18, 0, 0, 24, 38, 15, 68, 116, 18, 0, 0, 8, 63, 57, 126, 7, 1, 0, 0, 34, 126, 90, 26, 109, 8, 0, 3, 15, 39, 20, 72, 4, 38, 12, 3, 7, 9, 1, 14, 2, 4, 4, 11, 14, 26, 57, 50, 11, 8, 9, 3, 1, 60, 56, 6, 111, 4, 1, 1, 0, 2, 4, 26
8, 0, 0, 5, 58, 48, 11, 45, 0, 0, 0, 4, 49, 55, 124, 64, 7, 0, 0, 2, 7, 23, 124, 79, 77, 0, 1, 6, 5, 26, 48, 31, 16, 2, 11, 22, 71, 6, 9, 43, 11, 0, 0, 30, 124, 61, 22, 22, 103, 23, 19, 9, 11, 12, 50, 57, 98, 15, 15, 8, 12, 62, 37, 50, 15, 10, 18, 63, 45, 0, 0, 2, 25, 14, 21, 116, 124, 1, 1, 3, 124, 124, 60, 48, 13, 0, 1, 7, 15, 26, 34, 71, 17, 6, 4, 1, 4, 9, 0, 31, 36, 7, 0, 0, 12, 24, 70, 80, 58, 5, 0, 0, 124, 58, 61, 58, 28, 1, 3, 22, 2, 3, 11, 36, 40, 1, 5, 9
2, 2, 4, 0, 0, 68, 66, 2, 3, 5, 1, 0, 1, 120, 120, 3, 0, 2, 3, 1, 0, 120, 115, 3, 120, 9, 2, 0, 0, 26, 25, 29, 5, 62, 78, 55, 23, 83, 64, 0, 2, 14, 25, 111, 43, 60, 53, 2, 24, 34, 29, 12, 4, 9, 16, 10, 120, 20, 25, 22, 12, 1, 0, 28, 50, 32, 27, 37, 27, 22, 25, 32, 7, 3, 16, 120, 93, 3, 6, 7, 78, 103, 28, 66, 16, 3, 5, 10, 97, 48, 16, 61, 41, 3, 3, 37, 42, 7, 0, 4, 14, 2, 2, 27, 14, 0, 9, 85, 42, 3, 0, 18, 42, 43, 20, 56, 27, 15, 11, 32, 41, 14, 0, 78, 76, 2, 6, 41
2, 0, 1, 2, 3, 11, 50, 16, 2, 0, 0, 2, 3, 9, 72, 47, 56, 21, 0, 0, 0, 2, 19, 115, 67, 18, 13, 31, 4, 0, 3, 54, 6, 27, 72, 15, 2, 2, 6, 6, 15, 6, 52, 85, 6, 1, 11, 31, 116, 77, 14, 5, 0, 0, 2, 58, 116, 68, 5, 6, 0, 0, 4, 35, 31, 35, 52, 9, 0, 0, 2, 46, 14, 73, 116, 116, 0, 0, 0, 1, 116, 108, 116, 86, 0, 0, 0, 12, 101, 85, 35, 3, 0, 0, 5, 30, 92, 16, 1, 2, 0, 0, 1, 48, 87, 58, 42, 25, 0, 0, 9, 85, 24, 37, 77, 96, 13, 12, 34, 23, 65, 35, 10, 3, 2, 1, 1, 16
3, 101, 55, 3, 3, 9, 31, 6, 5, 102, 69, 0, 0, 8, 100, 17, 21, 50, 16, 1, 1, 23, 81, 16, 7, 34, 7, 2, 0, 18, 39, 15, 0, 26, 32, 13, 127, 87, 47, 1, 1, 8, 12, 5, 18, 33, 127, 28, 81, 13, 9, 3, 3, 20, 127, 84, 127, 85, 17, 6, 0, 14, 25, 54, 0, 23, 15, 1, 48, 107, 37, 0, 1, 21, 65, 18, 11, 4, 0, 0, 84, 43, 45, 12, 0, 0, 0, 14, 127, 13, 0, 0, 0, 0, 0, 84, 0, 46, 39, 0, 0, 1, 1, 0, 0, 59, 104, 34, 0, 0, 0, 1, 16, 35, 83, 44, 0, 0, 0, 2, 98, 66, 22, 0, 0, 0, 0, 27
0, 5, 2, 0, 4, 5, 1, 0, 61, 5, 5, 0, 0, 0, 2, 15, 141, 1, 2, 7, 40, 11, 3, 108, 4, 15, 8, 9, 48, 9, 1, 1, 1, 36, 35, 11, 5, 1, 0, 0, 28, 9, 37, 29, 13, 0, 0, 5, 141, 9, 21, 6, 5, 0, 1, 69, 36, 9, 35, 41, 83, 7, 0, 6, 2, 67, 141, 24, 2, 0, 0, 0, 5, 27, 141, 80, 6, 0, 0, 0, 141, 72, 110, 37, 0, 0, 2, 23, 52, 8, 8, 24, 95, 33, 6, 16, 13, 30, 139, 4, 0, 3, 2, 9, 0, 4, 141, 32, 0, 13, 47, 0, 5, 36, 141, 34, 7, 11, 44, 5, 2, 5, 17, 28, 47, 23, 3, 0
8, 3, 48, 127, 0, 1, 15, 41, 54, 15, 68, 45, 4, 3, 7, 127, 28, 12, 22, 84, 57, 12, 3, 36, 33, 22, 13, 14, 3, 0, 0, 10, 83, 27, 18, 36, 0, 21, 127, 57, 119, 102, 127, 38, 0, 0, 8, 33, 12, 19, 127, 70, 9, 8, 1, 14, 24, 13, 107, 71, 1, 0, 0, 9, 127, 102, 9, 8, 0, 3, 12, 13, 127, 49, 5, 0, 0, 0, 0, 55, 25, 5, 40, 8, 0, 0, 0, 12, 0, 0, 46, 45, 0, 0, 0, 0, 86, 31, 49, 42, 0, 0, 0, 4, 114, 5, 2, 2, 0, 0, 0, 44, 50, 2, 1, 0, 0, 0, 0, 20, 0, 0, 4, 1, 0, 0, 0, 0
73, 51, 0, 0, 1, 0, 0, 12, 25, 20, 35, 36, 24, 1, 0, 4, 88, 32, 100, 32, 6, 0, 0, 15, 36, 13, 22, 30, 9, 13, 9, 20, 128, 14, 0, 0, 8, 4, 0, 67, 115, 128, 72, 3, 0, 1, 5, 43, 10, 76, 128, 56, 28, 57, 15, 6, 6, 1, 15, 29, 73, 114, 15, 9, 74, 19, 9, 5, 3, 3, 7, 74, 84, 26, 2, 0, 0, 9, 122, 128, 3, 6, 3, 0, 10, 128, 128, 34, 0, 0, 1, 7, 55, 128, 13, 0, 8, 5, 4, 5, 11, 3, 17, 6, 84, 18, 2, 0, 1, 0, 19, 39, 11, 6, 3, 2, 5, 13, 30, 11, 6, 12, 13, 12, 6, 3, 2, 1
20, 0, 3, 7, 13, 26, 34, 19, 30, 0, 0, 0, 7, 61, 69, 45, 13, 3, 1, 0, 7, 52, 85, 106, 36, 16, 7, 9, 8, 4, 3, 35, 10, 18, 36, 36, 39, 11, 2, 6, 9, 9, 25, 22, 111, 72, 19, 16, 111, 25, 42, 38, 46, 35, 30, 111, 106, 12, 3, 2, 12, 23, 25, 71, 2, 44, 64, 69, 30, 2, 4, 1, 54, 43, 38, 89, 111, 61, 0, 1, 111, 111, 83, 105, 11, 11, 0, 5, 58, 69, 39, 39, 34, 7, 4, 2, 8, 4, 3, 6, 15, 11, 24, 17, 32, 46, 43, 105, 96, 5, 3, 11, 82, 100, 40, 10, 1, 0, 1, 5, 18, 28, 25, 30, 16, 1, 4, 3
0, 1, 43, 43, 31, 16, 41, 22, 3, 0, 1, 5, 18, 22, 133, 40, 102, 9, 2, 0, 0, 3, 92, 78, 30, 16, 10, 1, 0, 1, 2, 10, 0, 0, 22, 30, 117, 133, 24, 1, 11, 2, 29, 13, 39, 74, 39, 39, 133, 15, 6, 0, 0, 0, 6, 133, 94, 7, 2, 0, 0, 0, 7, 34, 4, 61, 86, 22, 24, 42, 21, 1, 3, 27, 133, 67, 6, 5, 3, 3, 133, 133, 130, 16, 0, 0, 1, 16, 54, 33, 7, 0, 0, 0, 13, 13, 0, 48, 48, 2, 0, 2, 26, 4, 0, 18, 63, 15, 3, 19, 69, 7, 13, 45, 26, 8, 1, 6, 32, 28, 5, 11, 2, 0, 0, 1, 9, 7
